Date,Close,Volume,Open,High,Low
7/20/20,"$3,196.84 ",7598176,"$3,000.20 ","$3,201.36 ","$2,994.02 "
7/17/20,"$2,961.97 ",4761319,"$3,009 ","$3,024 ","$2,948.45 "
7/16/20,"$2,999.90 ",6394246,"$2,971.06 ","$3,032 ","$2,918.23 "
7/15/20,"$3,008.87 ",5788874,"$3,080.23 ","$3,098.35 ","$2,973.18 "
7/14/20,"$3,084 ",7231933,"$3,089 ","$3,127.38 ","$2,950 "
7/13/20,"$3,104 ",7720420,"$3,251.06 ","$3,344.29 ","$3,068.39 "
7/10/20,"$3,200 ",5485982,"$3,191.76 ","$3,215 ","$3,135.70 "
7/9/20,"$3,182.63 ",6388659,"$3,115.99 ","$3,193.88 ","$3,074.00 "
7/8/20,"$3,081.11 ",5037635,"$3,022.61 ","$3,083.97 ","$3,012.43 "
7/7/20,"$3,000.12 ",5257514,"$3,058.55 ","$3,069.55 ","$2,990 "
7/6/20,"$3,057.04 ",6880642,"$2,934.97 ","$3,059.88 ","$2,930 "
7/2/20,"$2,890.30 ",6593387,"$2,912.01 ","$2,955.56 ","$2,871.10 "
7/1/20,"$2,878.70 ",6363439,"$2,757.99 ","$2,895 ","$2,754 "
6/30/20,"$2,758.82 ",3769686,"$2,685.07 ","$2,769.63 ","$2,675.03 "
6/29/20,"$2,680.38 ",4223422,"$2,690.01 ","$2,696.80 ","$2,630.08 "
6/26/20,"$2,692.87 ",6500784,"$2,775.06 ","$2,782.57 ","$2,688 "
6/25/20,"$2,754.58 ",2968657,"$2,739.55 ","$2,756.23 ","$2,712.14 "
6/24/20,"$2,734.40 ",4526605,"$2,780 ","$2,796 ","$2,721 "
6/23/20,"$2,764.41 ",4231707,"$2,726.02 ","$2,783.11 ","$2,718.04 "
6/22/20,"$2,713.82 ",3208780,"$2,684.50 ","$2,715 ","$2,669 "
6/19/20,"$2,675.01 ",5776963,"$2,678.08 ","$2,697.43 ","$2,659 "
6/18/20,"$2,653.98 ",2487774,"$2,647.01 ","$2,659.64 ","$2,636.11 "
6/17/20,"$2,640.98 ",2959316,"$2,647.50 ","$2,655 ","$2,631.82 "
6/16/20,"$2,615.27 ",3595649,"$2,620 ","$2,620 ","$2,576 "
6/15/20,"$2,572.68 ",3873335,"$2,526.60 ","$2,584 ","$2,508.00 "
6/12/20,"$2,545.02 ",5436127,"$2,601.21 ","$2,621.48 ","$2,503.35 "
6/11/20,"$2,557.96 ",5800107,"$2,603.50 ","$2,671.38 ","$2,536.23 "
6/10/20,"$2,647.45 ",4946031,"$2,645 ","$2,722.35 ","$2,626.26 "
6/9/20,"$2,600.86 ",5175950,"$2,529.44 ","$2,626.43 ","$2,525 "
6/8/20,"$2,524.06 ",3970654,"$2,500.20 ","$2,530 ","$2,487.34 "
6/5/20,"$2,483 ",3306445,"$2,444.51 ","$2,488.65 ","$2,437.13 "
6/4/20,"$2,460.60 ",2948710,"$2,477.43 ","$2,507.54 ","$2,450.01 "
6/3/20,"$2,478.40 ",2671024,"$2,468.01 ","$2,488 ","$2,461.17 "
6/2/20,"$2,472.41 ",2529903,"$2,467 ","$2,473.53 ","$2,445.31 "
6/1/20,"$2,471.04 ",2938032,"$2,448 ","$2,476.93 ","$2,444.17 "
5/29/20,"$2,442.37 ",3529329,"$2,415.94 ","$2,442.37 ","$2,398.20 "
5/28/20,"$2,401.10 ",3193136,"$2,384.33 ","$2,436.97 ","$2,378.23 "
5/27/20,"$2,410.39 ",5056945,"$2,404.99 ","$2,413.58 ","$2,330 "
5/26/20,"$2,421.86 ",3568153,"$2,458 ","$2,462 ","$2,414.06 "
5/22/20,"$2,436.88 ",2867079,"$2,455.01 ","$2,469.85 ","$2,430.13 "
5/21/20,"$2,446.74 ",5114403,"$2,500 ","$2,525.45 ","$2,442.54 "
5/20/20,"$2,497.94 ",3998143,"$2,477.87 ","$2,500.01 ","$2,467.27 "
5/19/20,"$2,449.33 ",4320498,"$2,429.83 ","$2,485.00 ","$2,428.97 "
5/18/20,"$2,426.26 ",4366572,"$2,404.35 ","$2,433 ","$2,384.01 "
5/15/20,"$2,409.78 ",4234951,"$2,368.52 ","$2,411 ","$2,356.37 "
5/14/20,"$2,388.85 ",3648128,"$2,361.01 ","$2,391.37 ","$2,353.21 "
5/13/20,"$2,367.92 ",4782919,"$2,366.80 ","$2,407.70 ","$2,337.81 "
5/12/20,"$2,356.95 ",3074916,"$2,411.85 ","$2,419.00 ","$2,355 "
5/11/20,"$2,409 ",3259231,"$2,374.70 ","$2,419.67 ","$2,372.11 "
5/8/20,"$2,379.61 ",3211228,"$2,372.14 ","$2,387.24 ","$2,357 "
5/7/20,"$2,367.61 ",3396411,"$2,374.78 ","$2,376 ","$2,343.11 "
5/6/20,"$2,351.26 ",3117814,"$2,329.44 ","$2,357.45 ","$2,320 "
5/5/20,"$2,317.80 ",3242496,"$2,340 ","$2,351 ","$2,307.13 "
5/4/20,"$2,315.99 ",4865926,"$2,256.38 ","$2,326.98 ","$2,256.38 "
5/1/20,"$2,286.04 ",9772605,"$2,336.80 ","$2,362.44 ","$2,258.19 "
4/30/20,"$2,474 ",9534611,"$2,419.84 ","$2,475 ","$2,396.01 "
4/29/20,"$2,372.71 ",4591593,"$2,330.01 ","$2,391.89 ","$2,310 "
4/28/20,"$2,314.08 ",5269446,"$2,372.10 ","$2,373.50 ","$2,306 "
4/27/20,"$2,376 ",5645645,"$2,443.20 ","$2,444.88 ","$2,363 "
4/24/20,"$2,410.22 ",3831797,"$2,417 ","$2,420.43 ","$2,382 "
4/23/20,"$2,399.45 ",5066552,"$2,399.98 ","$2,424.22 ","$2,382.08 "
4/22/20,"$2,363.49 ",4218295,"$2,369 ","$2,394 ","$2,351 "
4/21/20,"$2,328.12 ",7476679,"$2,416.61 ","$2,428.31 ","$2,279.66 "
4/20/20,"$2,393.61 ",5770694,"$2,389.95 ","$2,444.98 ","$2,386.05 "
